date,case,day_total,events,conflict,threat_coerce,sanction,military_pair,military_geo,keyword_articles,tone_num,tone_den
20260101,china_japan_2025,63029,33,17,7,0,3,233,3,-412.34904948439083,171.0
20260101,china_japan_seafood_2023,63029,33,17,7,0,3,233,4,-412.34904948439083,171.0
20260101,india_pakistan_2025,63029,42,15,10,0,14,717,214,-654.8451808851528,202.0
20260101,israel_iran_2025,63029,85,49,7,0,29,660,85,-1176.7735055285204,317.0
20260101,north_korea,63029,34,8,2,0,3,4,25,279.8582999288026,114.0
20260101,russia_ukraine_2022,63029,553,280,37,0,122,361,179,-19274.200515355784,3774.0
20260101,south_china_sea_ph,63029,22,17,0,0,5,64,2,-278.64415750841124,96.0
20260101,taiwan_strait,63029,234,75,25,0,38,57,126,-4619.509687649056,2343.0
20260101,thailand_cambodia_2025,63029,89,19,0,0,7,29,20,-3724.8438638897396,1102.0
20260101,us_china_chips_2022,63029,117,25,10,3,15,202,30,-354.9860935649624,952.0
20260101,us_china_tariffs_2025,63029,213,41,14,3,22,3237,68,-1391.115420661831,1508.0
20260102,china_japan_2025,73887,53,18,10,0,2,219,4,-81.21915007069686,234.0
20260102,china_japan_seafood_2023,73887,53,18,10,0,2,219,5,-81.21915007069686,234.0
20260102,india_pakistan_2025,73887,20,9,6,0,5,700,190,-285.51197758079184,81.0
20260102,israel_iran_2025,73887,194,92,26,0,39,996,255,-33260.85547946133,5817.0
20260102,north_korea,73887,59,5,5,0,2,16,40,-206.57948494183935,404.0
20260102,russia_ukraine_2022,73887,412,217,23,0,100,323,155,-26439.190906844193,5180.0
20260102,south_china_sea_ph,73887,10,4,0,0,0,50,1,-193.42109028851488,39.0
20260102,taiwan_strait,73887,191,57,10,0,36,40,101,-3901.3123378146424,4165.0
20260102,thailand_cambodia_2025,73887,83,26,0,0,14,22,14,-1069.7440669417315,370.0
20260102,us_china_chips_2022,73887,123,26,8,0,8,162,38,-2741.6446529300983,1041.0
